id,"title","author"
1,"The Declaration of Independence",NULL
2,"The King James Bible",NULL
3,"The Complete Works of William Shakespeare","William Shakespeare"
4,"The Magna Carta","Anonymous"
5,"Apocolocyntosis","Lucius Seneca"
6,"The House on the Borderland","William Hope Hodgson"
7,"My First Years As A Frenchwoman, 1876-1879","Mary King Waddington"
8,"The Warriors","Lindsay, Anna Robertson Brown"
9,"A Voyage to the Moon","George Tucker"
10,"La Fiammetta","Giovanni Boccaccio"
11,"Carmilla","J. Sheridan LeFanu"
12,"The Mystery","Stewart Edward White and Samuel Hopkins Adams"
13,"Wild Northern Scenes","S. H. Hammond"
14,"Divine Comedy, Longfellow's Translation, Hell","Dante Alighieri"
15,"The Eulogies of Howard","William Hayley"
16,"365 Foreign Dishes","Unknown"
17,"The Mountains of California","John Muir"
18,"Punchinello, Vol. 1, No. 9, May 28, 1870","Various"
19,"Punchinello, Vol. 1, No. 18, July 30, 1870","Various"
20,"Punchinello, Vol. 1, No. 19, August 6, 1870","Various"
21,"Punchinello Vol. 1, No. 21, August 20, 1870","Various"
22,"Punchinello, Vol. 1, No. 23,  September 3, 1870","Various"
23,"Punchinello, Vol. 1, No. 5,  April 30, 1870","Various"
24,"Punchinello, Vol. 1, No. 22, August 27, 1870","Various"
25,"The Strand Magazine: Volume VII, Issue 37. January, 1894.","Edited by George Newnes"
26,"Tenterhooks","Ada Leverson"
27,"White Queen of the Cannibals: The Story of Mary Slessor","A. J. Bueltmann"
28,"There's Pippins And Cheese To Come","Charles S. Brooks"
29,"Beneath the Banner","F. J. Cross"
30,"Gaslight Sonatas","Fannie  Hurst"
31,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,"," Various"
32,"The Triple Alliance","Harold Avery"
33,"Spalding's Official Baseball Guide - 1913",NULL
34,"The Hunt Ball Mystery","Magnay, William"
35,"The Life of Hon. William F. Cody","William F. Cody"
36,"Edgar Allan Poe's Complete Poetical Works","Edgar Allan Poe"
37,"Punchinello, Vol. 1, No. 24, September 10, 1870","Various"
38,"Punchinello, Vol. 1, No. 25, September 17, 1870","Various"
39,"Punchinello, Vol. 1, No. 26, September 24, 1870","Various"
40,"Punchinello, Vol. 2, No. 27, October 1, 1870","Various"
41,"Punchinello Vol. 2, No. 28, October 8, 1870","Various"
42,"A Beautiful Possibility","Edith Ferguson Black"
43,"The Magnetic North","Elizabeth Robins (C. E. Raimond)"
44,"The Works of Aphra Behn, Vol. III","Aphra Behn"
45,"Alaska Indian Dictionary","Charles A. Lee"
46,"The Rivet in Grandfather's Neck","James Branch Cabell"
47,"The Child Under Eight","E.R. Murray and Henrietta Brown Smith"
48,"Klondyke Nuggets","Joseph Ladue"
49,"The Father of British Canada: A Chronicle of Carleton","William Wood"
50,"Dave Darrin's Second Year at Annapolis","H. Irving Hancock"
51,"Salute to Adventurers","John Buchan"
52,"Punchinello, Vol. 2, No. 29, October 15, 1870","Various"
53,"Billie Bradley and Her Inheritance","Janet D. Wheeler"
